Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://cbmi.med.harvard.edu/asdphenotype#question_id,http://data.bioontology.org/metadata/prefixIRI,http://www.w3.org/2004/02/skos/core#definition
http://cbmi.med.harvard.edu/asdphenotype#Class_386,Perinatal Exposures,,"Being subject during pregnancy or infancy to agents and other environmental factors, such as medications or other substances that could affect the development of the fetus or infant.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_385,,asd:Class_386,"Being subject during pregnancy or infancy to agents and other environmental factors, such as medications or other substances that could affect the development of the fetus or infant."
http://cbmi.med.harvard.edu/asdphenotype#Class_2,Isolated Cognitive Skills,,"Showing extreme proficiency in certain areas with special abilities, for example, in memory, music, drawing, reading and computational skills.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_158,,asd:Class_2,"Showing extreme proficiency in certain areas with special abilities, for example, in memory, music, drawing, reading and computational skills."
http://cbmi.med.harvard.edu/asdphenotype#Class_288,Gestures,,Movement of a part of the body for the purpose of communication.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_262,,asd:Class_288,Movement of a part of the body for the purpose of communication.
http://cbmi.med.harvard.edu/asdphenotype#Class_321,Adherence to Rules in the Community,,Understanding and obeying rules and laws when in the broader community.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_54,,asd:Class_321,Understanding and obeying rules and laws when in the broader community.
http://cbmi.med.harvard.edu/asdphenotype#Class_87,Preparation of Food,,"Planning, organizing, cooking and serving simple and complex meals for oneself and others. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_532,,asd:Class_87,"Planning, organizing, cooking and serving simple and complex meals for oneself and others. "
http://cbmi.med.harvard.edu/asdphenotype#Class_757,Color Perception,,Mental processing of chromatic signals from the eye by the visual cortex where they are converted into symbolic representations. ,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_755,,asd:Class_757,Mental processing of chromatic signals from the eye by the visual cortex where they are converted into symbolic representations. 
http://cbmi.med.harvard.edu/asdphenotype#Class_287,Awareness of Social Cues,,Giving and reacting appropriately to signs and hints that occur in social interactions. This ability can be compromised in individuals with autism spectrum disorder.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_66,,asd:Class_287,Giving and reacting appropriately to signs and hints that occur in social interactions. This ability can be compromised in individuals with autism spectrum disorder.
http://cbmi.med.harvard.edu/asdphenotype#Class_433,Rubella,,"An acute, usually benign, infectious disease caused by the rubella virus, and most often affecting children and non-immune young adults, in which the virus enters the respiratory tract via droplet nuclei and spreads to the lymphatic system. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_422,,asd:Class_433,"An acute, usually benign, infectious disease caused by the rubella virus, and most often affecting children and non-immune young adults, in which the virus enters the respiratory tract via droplet nuclei and spreads to the lymphatic system. "
http://cbmi.med.harvard.edu/asdphenotype#Class_251,Use of Everyday Household Items,,"Using items in the household such as cookware, washing machines, irons, and vacuum cleaners.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_49,,asd:Class_251,"Using items in the household such as cookware, washing machines, irons, and vacuum cleaners."
http://cbmi.med.harvard.edu/asdphenotype#Class_389,Allergies,,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_376,,asd:Class_389,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen."
http://cbmi.med.harvard.edu/asdphenotype#Class_756,Space Perception,,The awareness of the spatial properties of objects; including physical space.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_755,,asd:Class_756,The awareness of the spatial properties of objects; including physical space.
http://cbmi.med.harvard.edu/asdphenotype#Class_250,Interactions with Friends and Family,,"Relationships, including conversations and joint activities, with family members and friends.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_67,,asd:Class_250,"Relationships, including conversations and joint activities, with family members and friends."
http://cbmi.med.harvard.edu/asdphenotype#Class_67,Social Interest,,Actively seeking out interactions with others. ,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_283,,asd:Class_67,Actively seeking out interactions with others. 
http://cbmi.med.harvard.edu/asdphenotype#Class_516,Congenital Abnormalities,,Malformations of organs or body parts during development in utero.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_365,,asd:Class_516,Malformations of organs or body parts during development in utero.
http://cbmi.med.harvard.edu/asdphenotype#Class_148,Exposures,,Environmental or other conditions that may have an impact on the etiology or course of a disorder.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_154,,asd:Class_148,Environmental or other conditions that may have an impact on the etiology or course of a disorder.
http://cbmi.med.harvard.edu/asdphenotype#Class_84,Depression,,"A mood state characterized by sadness, despair, or discouragement, and melancholic feelings of grief or unhappiness.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_245,,asd:Class_84,"A mood state characterized by sadness, despair, or discouragement, and melancholic feelings of grief or unhappiness."
http://cbmi.med.harvard.edu/asdphenotype#Class_173,Transitioning Ability,,The ability to shift attention from one activity or focus to another when required to do so.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_529,,asd:Class_173,The ability to shift attention from one activity or focus to another when required to do so.
http://cbmi.med.harvard.edu/asdphenotype#Class_37,Engaging in Social Play,,Participating in and enjoying structured and unstructured games and spontaneous recreation.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_250,,asd:Class_37,Participating in and enjoying structured and unstructured games and spontaneous recreation.
http://cbmi.med.harvard.edu/asdphenotype#Class_178,Cardiovascular Diseases,,"Pathological conditions involving the cardiovascular system including the heart, the blood vessels, or the pericardium. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_365,,asd:Class_178,"Pathological conditions involving the cardiovascular system including the heart, the blood vessels, or the pericardium. "
http://cbmi.med.harvard.edu/asdphenotype#Class_503,Hydrocephalus,,"Excessive accumulation of cerebrospinal fluid within the cranium that may be associated with dilation of cerebral ventricles, intracranial hypertension, headache, lethargy, urinary incontinence, and ataxia (and in infants macrocephaly). ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_517,,asd:Class_503,"Excessive accumulation of cerebrospinal fluid within the cranium that may be associated with dilation of cerebral ventricles, intracranial hypertension, headache, lethargy, urinary incontinence, and ataxia (and in infants macrocephaly). "
http://cbmi.med.harvard.edu/asdphenotype#Class_177,Expressive Language,,The ability to produce and use language in an accurate and meaningful way.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_156,,asd:Class_177,The ability to produce and use language in an accurate and meaningful way.
http://cbmi.med.harvard.edu/asdphenotype#Class_329,Showing Emotion,,Showing outward display of emotions that can be perceived by others.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_140,,asd:Class_329,Showing outward display of emotions that can be perceived by others.
http://cbmi.med.harvard.edu/asdphenotype#Class_532,Performance of Household Tasks,,"Performing tasks necessary for the general management and upkeep of a household, including completing chores and preparing food.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_49,,asd:Class_532,"Performing tasks necessary for the general management and upkeep of a household, including completing chores and preparing food."
http://cbmi.med.harvard.edu/asdphenotype#Class_176,Receptive Language,,The ability to understand language.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_156,,asd:Class_176,The ability to understand language.
http://cbmi.med.harvard.edu/asdphenotype#Class_502,Angelman Syndrome,,"A syndrome characterized by multiple abnormalities, mental retardation, and movement disorders. Present usually are skull and other abnormalities, frequent infantile spasms easily provoked and prolonged paroxysms of laughter, jerky puppet-like movements, continuous tongue protrusion; motor retardation; ataxia, muscle hypotonia, and a peculiar facies. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_517,,asd:Class_502,"A syndrome characterized by multiple abnormalities, mental retardation, and movement disorders. Present usually are skull and other abnormalities, frequent infantile spasms easily provoked and prolonged paroxysms of laughter, jerky puppet-like movements, continuous tongue protrusion; motor retardation; ataxia, muscle hypotonia, and a peculiar facies. "
http://cbmi.med.harvard.edu/asdphenotype#Class_328,Intense Interests,,Extremely strong interest in specific objects or topics.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_235,,asd:Class_328,Extremely strong interest in specific objects or topics.
http://cbmi.med.harvard.edu/asdphenotype#Class_3,Preparing for Tasks,,"The ability to successfully manage arranging materials, space, or time as needed to facilitate performance of tasks.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_30,,asd:Class_3,"The ability to successfully manage arranging materials, space, or time as needed to facilitate performance of tasks."
http://cbmi.med.harvard.edu/asdphenotype#Class_531,Response Inhibition,,The interference with or prevention of a behavioral or verbal response even though the stimulus for that response is present.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_155,,asd:Class_531,The interference with or prevention of a behavioral or verbal response even though the stimulus for that response is present.
http://cbmi.med.harvard.edu/asdphenotype#Class_66,Recognition of Social Norms,,"Awareness of rules for social conduct, or standards which comprise a cultural definition of desirable or acceptable behavior. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_153,,asd:Class_66,"Awareness of rules for social conduct, or standards which comprise a cultural definition of desirable or acceptable behavior. "
http://cbmi.med.harvard.edu/asdphenotype#Class_387,Gastroesophageal Reflux,,"Retrograde flow of gastric juice and/or duodenal contents into the distal esophagus, commonly due to incompetence of the lower esophageal sphincter. ",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_527,,asd:Class_387,"Retrograde flow of gastric juice and/or duodenal contents into the distal esophagus, commonly due to incompetence of the lower esophageal sphincter. "
http://cbmi.med.harvard.edu/asdphenotype#Class_50,Clothing Self,,Carrying out the coordinated actions and tasks of putting on and taking off clothes and footwear in sequence and in keeping with climatic and social conditions. ,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_174,,asd:Class_50,Carrying out the coordinated actions and tasks of putting on and taking off clothes and footwear in sequence and in keeping with climatic and social conditions. 
http://cbmi.med.harvard.edu/asdphenotype#Class_175,Lead Exposure,,History of exposure and possible poisoning due to absorption or ingestion of lead.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_148,,asd:Class_175,History of exposure and possible poisoning due to absorption or ingestion of lead.
http://cbmi.med.harvard.edu/asdphenotype#Class_357,Use of Free Time,,"Engaging in any form of play, recreational, or leisure activity.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_30,,asd:Class_357,"Engaging in any form of play, recreational, or leisure activity."
http://cbmi.med.harvard.edu/asdphenotype#Class_53,Hygiene,,Maintaining personal cleanliness.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_174,,asd:Class_53,Maintaining personal cleanliness.
http://cbmi.med.harvard.edu/asdphenotype#Class_370,Sorting Ability,,"The ability to sort objects in different ways as instructed, including sorting the same objects multiple times by different rules.",false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_529,,asd:Class_370,"The ability to sort objects in different ways as instructed, including sorting the same objects multiple times by different rules."
http://cbmi.med.harvard.edu/asdphenotype#Class_742,Sexual Issues,,Problems in sexual desire or behavior.,false,,,http://cbmi.med.harvard.edu/asdphenotype#Class_138,,asd:Class_742,Problems in sexual desire or behavior.
