Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetric property,BFO CLIF specification label,BFO OWL specification label,code DSM-IV-TR,code DSM-IV-TR,complicated_by,composed_of,Contributor,Coverage,Creator,curator note,database_cross_reference,Date,definition,definition source,derives_from,Description,disposition of at all times,editor note,editor preferred term,elucidation,example of usage,expand assertion to,expand expression to,first order logic expression,Format,has associated axiom(fol),has associated axiom(nl),has axiom label,has continuant part at all times,has curation status,has disposition at some time,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has obsolescence reason,has occurrent part,has ontology root term,has participant at all times,has participant at some time,has proper continuant part at all times,has proper occurrent part,has_alternative_id,has_exact_synonym,has_material_basis_in,has_narrow_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,has_symptom,http://attempto.ifi.uzh.ch/ace_lexicon#CN_pl,http://attempto.ifi.uzh.ch/ace_lexicon#CN_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_pl,http://attempto.ifi.uzh.ch/ace_lexicon#TV_sg,http://attempto.ifi.uzh.ch/ace_lexicon#TV_vbg,http://data.bioontology.org/metadata/prefixIRI,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/doid#DO_cancer_slim,http://purl.obolibrary.org/obo/doid#DO_MGI_slim,http://purl.obolibrary.org/obo/doid#GOLD,http://purl.obolibrary.org/obo/doid#gram-negative_bacterial_infectious_disease,http://purl.obolibrary.org/obo/doid#gram-positive_bacterial_infectious_disease,http://purl.obolibrary.org/obo/doid#sexually_transmitted_infectious_disease,http://purl.obolibrary.org/obo/doid#tick-borne_infectious_disease,http://purl.obolibrary.org/obo/doid#TopNodes_DOcancerslim,http://purl.obolibrary.org/obo/doid#zoonotic_infectious_disease,http://purl.obolibrary.org/obo/MF#hasAgent,http://purl.obolibrary.org/obo/MF#hasPart,http://purl.obolibrary.org/obo/MF#hasParticipant,http://purl.obolibrary.org/obo/MF#inhererOf,http://purl.obolibrary.org/obo/MF#inheresIn,http://purl.obolibrary.org/obo/MF#isAbout,http://purl.obolibrary.org/obo/MF#manifestationOf,http://purl.obolibrary.org/obo/MF#participantOf,http://purl.obolibrary.org/obo/MF#partOf,http://purl.obolibrary.org/obo/MF#realizationOf,http://purl.obolibrary.org/obo/MF#specificallyDependsOn,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2002/07/owl#versionIRI%20rdf:resource,http://www.w3.org/2004/02/skos/core#notation,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,ICD-10 code,ICD-10 code,ICD-10 code,imported from,in branch,in_subset,inheres in at all times,inheres_in,is allocated id range,is denotator type,is_a,Language,located_in,material basis of at all times,may be identical to,OBO foundry unique label,occurs_with,ontology term requester,part of continuant at some time,part of occurrent,part_of,participates in at some time,Publisher,realized in,realized_by,realized_by_supression_with,realizes,Relation,Resource Identifier,Resource Type,results_in,results_in_formation_of,Rights Management,scheduled for obsoletion on or after,Source,Subject and Keywords,subset_property,symptoms,term editor,term replaced by,term tracker item,Title,transmitted_by
http://purl.obolibrary.org/obo/DOID_8986,narcolepsy,"Narcolepsy, without cataplexy|paroxysmal sleep","A sleep disorder that involves an excessive urge to sleep at inappropriate times, such as while at work.|Xref MGI.",false,,,http://purl.obolibrary.org/obo/DOID_535,,,,,,,,,,,,,EFO:0000614|SNOMEDCT_2010_1_31:267702006|SNOMEDCT_2010_1_31:155059003|SNOMEDCT_2010_1_31:60380001|OMIM:612851|OMIM:614223|MSH:D009290|ICD10CM:G47.4|OMIM:605841|ICD9CM:347.0|OMIM:161400|UMLS_CUI:C0027404|OMIM:609039|OMIM:614250|OMIM:612417|NCI:C84489|ORDO:2073,,"A sleep disorder that involves an excessive urge to sleep at inappropriate times, such as while at work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOID:8985,"Narcolepsy, without cataplexy|paroxysmal sleep",,,,disease_ontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOID:8986,,Xref MGI.,,narcolepsy,,,,DOID:8986,,,,,,,,http://purl.obolibrary.org/obo/doid#DO_MGI_slim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000096,health care process,,"A planned process with the objective to improve the health status of a patient that directly involves the treatment, diagnosis, or prevention of disease or injury of a patient",false,,,http://purl.obolibrary.org/obo/OBI_0000011,,,,,,,,,,,,"creation date: 2011-02-21T09:57:44Z
editor date: 2017-04-18",,,"A planned process with the objective to improve the health status of a patient that directly involves the treatment, diagnosis, or prevention of disease or injury of a patient",http://groups.google.com/group/ogms-discuss/browse_thread/thread/a2dbc2ed1dff99d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGMS:0000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,health care process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albert Goldfain
Sagar Jain",,,,
http://purl.obolibrary.org/obo/OGMS_0000079,portion of pathological body substance,,"TODO: Define, relate to disorder, and place in the OGMS hierarchy.",false,,,http://purl.obolibrary.org/obo/BFO_0000040,,,,,,,,,,,,creation date: 2009-07-13T02:15:17Z,,,"TODO: Define, relate to disorder, and place in the OGMS hierarchy.",http://ontology.buffalo.edu/bio/ISMB/ISMB_Bio-ontologies.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGMS:0000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,portion of pathological body substance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Goldfain,,,,
http://purl.obolibrary.org/obo/DOID_9923,developmental coordination disorder,,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,false,,,http://purl.obolibrary.org/obo/DOID_0060038,,,,,,,,,,,,,ICD9CM:315.4|SNOMEDCT_2010_1_31:192578006|UMLS_CUI:C0011757|SNOMEDCT_2010_1_31:27544004|MSH:D019957,,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disease_ontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOID:9923,,,,developmental coordination disorder,,,,DOID:9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MFOMD_0000054,gambling addiction,,  A process addiction in which the patient compulsively gambles.            ,false,,,http://purl.obolibrary.org/obo/MFOMD_0000053,,,,,,,,,,,,,,,  A process addiction in which the patient compulsively gambles.            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFOMD:0000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambling addiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MFOMD_0000097,psychotic disorder due to a general medical condition,,"In this disorder the psychotic symptoms are judged to be a direct physiological consequence of a general medical condition. 

DSM-IV-TR (American Psychiatric Association)",false,,,http://purl.obolibrary.org/obo/DOID_2468,,,,,,,,,,,,,,,"In this disorder the psychotic symptoms are judged to be a direct physiological consequence of a general medical condition. 

DSM-IV-TR (American Psychiatric Association)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFOMD:0000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psychotic disorder due to a general medical condition,,,,,,,"F06.x
      .2   with delusions
      .0   with hallucinations
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MFOMD_0000053,process addiction,,"  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           |Increasingly referred to as process addiction or non-substance-related addiction, behavioral addiction includes a compulsion to repeatedly engage in an action until said action causes serious negative consequences to the person's physical, mental, social, and/or financial well-being. One sign that a behavior has become addictive is if it persists despite these consequences. [Wikipedia: http://en.wikipedia.org/wiki/Behavioral_addiction]|Process or behaviour addiction is not included in DSM-IV. Behavioral addiction has been proposed as a new class in DSM-5, but the only category included is gambling addiction. Internet addiction and sex addiction are included in the appendix. [Wikipedia:http://en.wikipedia.org/wiki/Behavioral_addiction]",false,,,http://purl.obolibrary.org/obo/MFOMD_0000046,behavioural addiction [DSM-IV],,,,,,,,,,,,,,"  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFOMD:0000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Increasingly referred to as process addiction or non-substance-related addiction, behavioral addiction includes a compulsion to repeatedly engage in an action until said action causes serious negative consequences to the person's physical, mental, social, and/or financial well-being. One sign that a behavior has become addictive is if it persists despite these consequences. [Wikipedia: http://en.wikipedia.org/wiki/Behavioral_addiction]|Process or behaviour addiction is not included in DSM-IV. Behavioral addiction has been proposed as a new class in DSM-5, but the only category included is gambling addiction. Internet addiction and sex addiction are included in the appendix. [Wikipedia:http://en.wikipedia.org/wiki/Behavioral_addiction]",,process addiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/DOID_10933,obsessive-compulsive disorder,obsessive compulsive disorder|Anancastic neurosis,"An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions).|Anxiety disorder characterized by recurrent and persistent thoughts and feelings and repetitive, ritualized behaviors.

|
Is characterized by obsessions (intrusive, repetitive thoughts or images that produces anxiety) or compulsions (the need to perform acts or to dwell on thoughts to reduce anxiety). Frequently this two occur together, although is possible to occur separately.

In this disorder are described the inability to resist or rid oneself of uncontrollable, alien, and often unacceptable thoughts or to keep from performing ritualistic acts over and over again arouses intense anxiety.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.

The obsessions or compulsions in this disorder Cause marked distress, are time consuming (take longer than 1 h a day), or greatly interfere with the person's normal routine, occupational (or academic) functioning, or usual social activities or relationships.

""Obsessive-compulsive disorder"" Dan J Stein",false,,,http://purl.obolibrary.org/obo/DOID_2030,trastorno obsesivo compulsivo,,,,301.4,,,,,,,,ICD9CM:300.3|SNOMEDCT_2010_1_31:192406007|SNOMEDCT_2010_1_31:71478004|SNOMEDCT_2010_1_31:191739006|SNOMEDCT_2010_1_31:191736004|UMLS_CUI:C0028768|MSH:D009771|SNOMEDCT_2010_1_31:192411009,,"An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions).|Anxiety disorder characterized by recurrent and persistent thoughts and feelings and repetitive, ritualized behaviors.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obsessive compulsive disorder|Anancastic neurosis,,,,disease_ontology,,,,,,,,DOID:10933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOID:10933,,"
Is characterized by obsessions (intrusive, repetitive thoughts or images that produces anxiety) or compulsions (the need to perform acts or to dwell on thoughts to reduce anxiety). Frequently this two occur together, although is possible to occur separately.

In this disorder are described the inability to resist or rid oneself of uncontrollable, alien, and often unacceptable thoughts or to keep from performing ritualistic acts over and over again arouses intense anxiety.

""Understanding abnormal behavior"". David Sue, Derald Wing Sue, Stanley Sue.

The obsessions or compulsions in this disorder Cause marked distress, are time consuming (take longer than 1 h a day), or greatly interfere with the person's normal routine, occupational (or academic) functioning, or usual social activities or relationships.

""Obsessive-compulsive disorder"" Dan J Stein",,obsessive-compulsive disorder,,,,DOID:10933,,,F42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
The characteristics of Obsessive-compulsive disorder are: 
- Intrusive thoughts or images (obsessions)
- Repetitive or ritualistic actions (compulsions)

The most frequent symptoms in this disorder are:
- contamination concerns with consequent washing
- concerns about harm to self or others with consequent checking.

Additional subgroups has been shown such as a cluster of symptoms of symmetry concerns and arranging rituals, and a cluster focused on hoarding.


""Obsessive-compulsive disorder"". Dan J Stein",,,,,
http://purl.obolibrary.org/obo/MFOMD_0000096,shared psychotic disorder,,"Is characterised by the presence of a delusion in an individual who is influenced by someone else who has a longer-standing delusion with similar content.

DSM-IV-TR (american Psychiatric Association)|
Criterion A for delusional disorder no longer has the requirement that the delusions must be nonbizarre. DSM-5 no longer separates delusional disorder from shared delusional disorder. If criteria are met for delusional disorder then that diagnosis is made. 

(Highlights of Changes from DSM-IV-TR to DSM-5, American Psychiatric Publishing)",false,,,http://purl.obolibrary.org/obo/DOID_2468,,,,,297.3,,,,,,,,,,"Is characterised by the presence of a delusion in an individual who is influenced by someone else who has a longer-standing delusion with similar content.

DSM-IV-TR (american Psychiatric Association)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFOMD:0000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Criterion A for delusional disorder no longer has the requirement that the delusions must be nonbizarre. DSM-5 no longer separates delusional disorder from shared delusional disorder. If criteria are met for delusional disorder then that diagnosis is made. 

(Highlights of Changes from DSM-IV-TR to DSM-5, American Psychiatric Publishing)",,shared psychotic disorder,,,,,,,F24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/GO_0046960,sensitization,,"An increased in a behavioral response to a repeated stimulus. For example, a shock to the tail of the marine snail Aplysia, to which the snail responds by withdrawing its gill, will result in increased gill withdrawal the next time the skin is touched.",false,,,http://purl.obolibrary.org/obo/GO_0046958,,,,,,,,,,,,,,,"An increased in a behavioral response to a repeated stimulus. For example, a shock to the tail of the marine snail Aplysia, to which the snail responds by withdrawing its gill, will result in increased gill withdrawal the next time the skin is touched.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0046960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sensitization,,,,,,,,,,http://purl.obolibrary.org/obo/go.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
