Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_alternative_id,has_exact_synonym,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,part_of
http://purl.obolibrary.org/obo/SYMP_0000149,sudden onset of severe chills,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000149,,,sudden onset of severe chills,true,SYMP:0000149,
http://purl.obolibrary.org/obo/SYMP_0000259,dry hacking cough,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000025,,,,,,symptoms,,,,,,,,,,,SYMP:0000259,,,dry hacking cough,,SYMP:0000259,
http://purl.obolibrary.org/obo/SYMP_0000729,pulmonary consolidation,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000514,,,,,,symptoms,,,,,,,,,,,SYMP:0000729,,,pulmonary consolidation,,SYMP:0000729,
http://purl.obolibrary.org/obo/SYMP_0000746,enanthem,,Enanthem is a skin and integumentary tissue symptom characterized as an eruption on a mucous surface.,false,,,http://purl.obolibrary.org/obo/SYMP_0000488,,Enanthem is a skin and integumentary tissue symptom characterized as an eruption on a mucous surface.,,,,symptoms,,,,,,,,,,,SYMP:0000746,,,enanthem,,SYMP:0000746,
http://purl.obolibrary.org/obo/SYMP_0000412,anxiety,,Anxiety is a neurological and physiological symptom characterized by a painful or apprehensive uneasiness of mind usually over an impending or anticipated ill.,false,,,http://purl.obolibrary.org/obo/SYMP_0000410,,Anxiety is a neurological and physiological symptom characterized by a painful or apprehensive uneasiness of mind usually over an impending or anticipated ill.,,,,symptoms,,,,,,,,,,,SYMP:0000412,,,anxiety,,SYMP:0000412,
http://purl.obolibrary.org/obo/SYMP_0000498,generalized abdominal tenderness,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000484,UMLS_ICD9CM_2005_AUI:A0637154|UMLS_CUI:C0302540|ICD9CM_2005:789.67|SyOID:13993,,,,,symptoms,,,,,,,,,,,SYMP:0000498,,,generalized abdominal tenderness,,SYMP:0000498,
http://purl.obolibrary.org/obo/SYMP_0000021,delirium,,"Delirium is a neurological and physiological symptom characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.",false,,,http://purl.obolibrary.org/obo/SYMP_0000410,,"Delirium is a neurological and physiological symptom characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.",,,,symptoms,,,,,,,,,,,SYMP:0000021,,,delirium,,SYMP:0000021,
http://purl.obolibrary.org/obo/SYMP_0000838,breakthrough pain,,"Breakthrough pain is a pain that occurs with movement and is not controlled by a scheduled pain medication regimen, such that the pain breaks through the current regimen. This is usually referred to in the context of a short and long acting opioid, the short acting opioid being used to treat the breakthrough pain.",false,,,http://purl.obolibrary.org/obo/SYMP_0000099,,"Breakthrough pain is a pain that occurs with movement and is not controlled by a scheduled pain medication regimen, such that the pain breaks through the current regimen. This is usually referred to in the context of a short and long acting opioid, the short acting opioid being used to treat the breakthrough pain.",,,,symptoms,,,,,,,,,,,SYMP:0000838,,,breakthrough pain,,SYMP:0000838,
http://purl.obolibrary.org/obo/SYMP_0019176,malaise,,Malaise is a neurological and physiological symptom characterized as an indefinite feeling of debility or lack of health often indicative of or accompanying the onset of an illness.,false,,,http://purl.obolibrary.org/obo/SYMP_0000410,,Malaise is a neurological and physiological symptom characterized as an indefinite feeling of debility or lack of health often indicative of or accompanying the onset of an illness.,,,,symptoms,,,,,,,,,,,SYMP:0019176,,,malaise,,SYMP:0019176,
http://purl.obolibrary.org/obo/SYMP_0000752,herpetic lesion on upper lip,,,false,,,http://purl.obolibrary.org/obo/SYMP_0000386,,,,,,symptoms,,,,,,,,,,,SYMP:0000752,,,herpetic lesion on upper lip,,SYMP:0000752,
http://purl.obolibrary.org/obo/SYMP_0000172,vesicles on teats,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000172,,,vesicles on teats,true,SYMP:0000172,
http://purl.obolibrary.org/obo/SYMP_0000155,tarry droppings,,,true,,,,,,,,,symptoms,,,,,,,,,,,SYMP:0000155,,,tarry droppings,true,SYMP:0000155,
