ID,Label,Preferred label,Synonyms
C098107,CHEMICAL,flibanserin [Supplementary Concept],Flibanserin|Benzimidazoles
NEW00001,CHEMICAL,multifunctional serotonin receptor agonist,multifunctional serotonin receptor agonist
D063766,DISEASE,Pediatric Obesity,"Infantile Obesity|Obesity in Childhood|Child Obesity|Infant Obesity|Obesity, Childhood|Obesity, Childhood Onset|Overweight, Adolescent|Obesity, Child|Obesity, Infantile|Childhood Onset Obesity|Obesity|Obesity, Pediatric|Childhood Obesity|Overweight, Childhood|Adolescent Overweight|Infant Overweight|Obesity, Infant|Obesity, Adolescent|Obesity in Adolescence|Adolescent Obesity|Overweight, Infant|Childhood Overweight"
C093875,CHEMICAL,montelukast [Supplementary Concept],Quinolines|Sulfides|Cyclopropanes|Acetates|montelukast
D015525,NUTRITION,"Fatty Acids, Omega-3","n3 PUFA|Fatty Acid, n3|Fatty Acid, Omega-3|N-3 Fatty Acid|Omega-3 Fatty Acids|Acid, Omega-3 Fatty|N 3 Fatty Acid|n 3 Fatty Acids|Oil, n3|n3 Oils|Omega 3 Fatty Acid|n-3 Oil|n 3 Oils|n-3 Oils|n 3 Polyunsaturated Fatty Acid|n3 Polyunsaturated Fatty Acid|Oil, n-3|PUFA, n3|Omega 3 Fatty Acids|n3 Oil|Fatty Acid, N-3|PUFA, n-3|n-3 Fatty Acids|n-3 Polyunsaturated Fatty Acid|n3 Fatty Acid|Acid, N-3 Fatty|omega-3 fatty acids|n 3 Oil|n-3 PUFA|Omega-3 Fatty Acid|n 3 PUFA"
D015118,CHEMICAL,Eicosapentaenoic Acid,"Acid, Eicosapentanoic|5,8,11,14,17-Icosapentaenoic Acid|5,8,11,14,17-Eicosapentaenoic Acid|Icosapent|Eicosapentanoic Acid|omega 3 Eicosapentaenoic Acid|eicosapentaenoic acid|omega-3-Eicosapentaenoic Acid|Timnodonic Acid|EPA"
D001206,BIOCHEMICAL,Ascorbic Acid Deficiency,"Vitamin C Deficiencies|Deficiencies, Vitamin C|Ascorbic acid|Deficiency, Vitamin C|Deficiencies, Ascorbic Acid|Deficiency, Ascorbic Acid|Ascorbic Acid Deficiencies|Vitamin C Deficiency"
NEW00007,DISEASE,schizophrenic patients,schizophrenic patients
NEW00011,BIOCHEMICAL,lowered vitamin B6 levels,lowered vitamin B6 levels
D018164,DISEASE,"Hemorrhagic Disease Virus, Epizootic",hemorrhagic disease|Epizootic hemorrhagic disease virus
D064417,BIOCHEMICAL,Vitamin K Epoxide Reductases,"Reductase, Phylloquinone Epoxide|K Epoxidase, Vitamin|Vitamin K 2,3 Epoxide Reductase|Reductase, Menadione Epoxide|Epoxidase, Vitamin K|Vitamin K Epoxide Reductase|Vitamin K 2,3-Epoxide Reductase|Phylloquinone Epoxide Reductase|Reductase, Vitamin KO|Epoxide Reductase, Phylloquinone|Epoxide Reductase, Menadione|Vitamin K 1 Epoxidase|Vitamin KO Reductase|Vitamin K Epoxidase|Menadione Epoxide Reductase|Vitamin K1 Oxide Reductase|vitamin K"
NEW00013,BIOCHEMICAL,Riboflavin transporter deficiency,Riboflavin transporter deficiency
NEW00014,BIOCHEMICAL,folate deficiency,folate deficiency
NEW00015,DISEASE,psychiatric hospitalization,psychiatric hospitalization
NEW00016,DISEASE,psychiatric patients,psychiatric patients
NEW00018,DISEASE,B12 insufficiency,B12 insufficiency
NEW00019,CHEMICAL,Biotin-dependent carboxylases,Biotin-dependent carboxylases
C531633,BIOCHEMICAL,Biotin deficiency [Supplementary Concept],Biotinidase Deficiency|biotin deficiency
NEW00022,BIOCHEMICAL,folate levels,folate levels
NEW00024,BIOCHEMICAL,vitamin abnormalities,vitamin abnormalities
NEW00025,DISEASE,AD VaD patients,AD VaD patients
