ID,Label,Preferred label,Synonyms
C098107,CHEMICAL,flibanserin [Supplementary Concept],Flibanserin|Benzimidazoles|flibanserin
NEW00000,MENTAL_HEALTH,acquired generalized hypoactive sexual desire disorder,acquired generalized hypoactive sexual desire disorder
D020018,DISEASE,"Sexual Dysfunctions, Psychological","|Sexual Aversion Disorder|Sexual Aversion Disorders|Dysfunctions, Psychological Sexual|Psychosexual Dysfunctions|Hypoactive sexual desire disorder|Psychosexual Disorder|Orgasmic Disorder|Orgasmic Disorders|sexual dysfunctions|sexual arousal disorder|low sexual desire|Disorders, Psychosexual|frigidity|Disorders, Orgasmic|Disorders, Sexual Aversion|Sexual Arousal Disorder|Dysfunction, Psychosexual|HSDD|Disorder, Psychosexual|sexual disorders|hypoactive sexual desire disorder|desire|Arousal Disorders, Sexual|Frigidity|Psychological Sexual Dysfunction|Psychosexual Disorders|Sexual Arousal Disorders|Disorders, Sexual Arousal|Dysfunction, Psychological Sexual|Sexual Dysfunction, Psychological|dysfunctions|Psychosexual Dysfunction|Psychological Sexual Dysfunctions|Hypoactive Sexual Desire Disorder|Dysfunctions, Psychosexual|Aversion Disorders, Sexual|sexual desire"
NEW00001,CHEMICAL,multifunctional serotonin receptor agonist,multifunctional serotonin receptor agonist
D063766,DISEASE,Pediatric Obesity,"Overweight, Adolescent|Obesity, Infantile|Adolescent Obesity|Obesity in Adolescence|Child Obesity|Obesity, Childhood Onset|Obesity, Childhood|Obesity, Infant|Adolescent Overweight|Childhood Onset Obesity|Infant Overweight|Overweight, Infant|Infantile Obesity|Childhood Overweight|Obesity, Child|Obesity, Pediatric|Obesity, Adolescent|Childhood Obesity|Infant Obesity|obesity|Obesity in Childhood|Obesity|Overweight, Childhood"
NEW00002,CHEMICAL,reduced testosterone,reduced testosterone
NEW00003,DISEASE,erectile function,erectile function
C093875,CHEMICAL,montelukast [Supplementary Concept],Acetates|Montelukast|montelukast|Cyclopropanes|Sulfides|Quinolines|MTK
NEW00004,CHEBI,safe drug,safe drug
D015525,NUTRITION,"Fatty Acids, Omega-3","n-3 Polyunsaturated Fatty Acid|polyunsaturated fatty acid|Omega 3 Fatty Acids|Oil, n3|n3-PUFA|Omega-3 Fatty Acid|Acid, N-3 Fatty|omega-3 fatty acids|n-3 Fatty Acids|n-3 Oils|n3 Fatty Acid|n3 PUFA|omega-3|Omega-3 fatty acids|Fatty Acid, n3|PUFA, n3|Omega 3 Fatty Acid|n-3 fatty acids|n 3 PUFA|n3 Oils|n 3 Polyunsaturated Fatty Acid|n 3 Fatty Acids|Oil, n-3|Omega-3 Fatty Acids|PUFA|n3 Oil|N 3 Fatty Acid|n-3 Oil|PUFA, n-3|Acid, Omega-3 Fatty|N-3 Fatty Acid|n 3 Oils|n 3 Oil|n3 Polyunsaturated Fatty Acid|n-3 PUFA|Fatty Acid, N-3|Fatty Acid, Omega-3|N-3 fatty acids"
D015289,CHEMICAL,Leukotrienes,leukotrienes|Leukotriene
NEW00005,DISEASE,psychiatric adverse events,psychiatric adverse events
D015118,CHEMICAL,Eicosapentaenoic Acid,"omega-3-Eicosapentaenoic Acid|Eicosapentanoic Acid|Acid, Eicosapentanoic|5,8,11,14,17-Icosapentaenoic Acid|Eicosapentaenoic acid|5,8,11,14,17-Eicosapentaenoic Acid|omega 3 Eicosapentaenoic Acid|Timnodonic Acid|eicosapentaenoic|EPA|Icosapent|eicosapentaenoic acid"
NEW00006,DISEASE,cognitive functioning =,cognitive functioning =
