head_id,head_name,relation,tail_id,tail_name
D008750,alpha-methyldopa,CID,D007022,hyper- or hypotension
D008012,Lidocaine,CID,D006323,cardiac asystole
D013390,Suxamethonium,CID,D005207,fasciculations
D012601,scopolamine,CID,D062787,overdosage
D008094,lithium,CID,D006973,hyper- or hypotension
D008094,lithium,CID,D011507,proteinuria
D008094,lithium,CID,D007676,chronic renal failure
D005672,fusidic acid,CID,D009325,nausea
D003042,cocaine,CID,D009203,myocardial infarction
D003042,cocaine,CID,D002037,bundle branch block
D013469,Sulpiride,CID,D004421,tardive dystonia
D003676,desferrioxamine,CID,D012164,pigmentary retinal deposits
D003676,desferrioxamine,CID,D014786,audiovisual toxicity
D003676,desferrioxamine,CID,D006319,neurosensorial hearing loss
D008274,magnesium,CID,D009157,Myasthenia gravis
C004656,Chloroacetaldehyde,CID,D003556,HC
C004656,Chloroacetaldehyde,CID,D006470,HC
D005996,nitroglycerin,CID,D008881,migraine
C084599,Clotiazepam,CID,D056486,hepatitis
D007654,ketoconazole,CID,D006973,hyper- or hypotension
D014148,tranexamic acid,CID,D004211,intravascular coagulation
D009599,nitroprusside,CID,D007022,hyper- or hypotension
D009599,nitroprusside,CID,D016534,increase in heart rate and cardiac output
D007741,labetalol,CID,D007022,hyper- or hypotension
D005481,hexafluorodiethyl ether,CID,D012640,seizures
D005996,nitroglycerin,CID,D007022,hyper- or hypotension
D006830,hydralazine,CID,D007022,hyper- or hypotension
D005047,Etoposide,CID,D011655,pulmonary obstruction
D008727,Methotrexate,CID,D011655,pulmonary obstruction
D003520,cyclophosphamide,CID,D011655,pulmonary obstruction
D008727,Methotrexate,CID,D007172,Impotence
D010615,phenacetin,CID,D007681,renal papillary necrosis
D010615,phenacetin,CID,D001749,bladder carcinomas
D010615,phenacetin,CID,D007680,renal cancer
D003622,Dapsone,CID,D000743,hemolytic anemia
D004110,diltiazem,CID,D007022,hyper- or hypotension
D004110,diltiazem,CID,D018754,impairment of ventricular function
D008790,metoprolol,CID,D018754,impairment of ventricular function
D008790,metoprolol,CID,D007022,hyper- or hypotension
D004110,diltiazem,CID,D054537,AV block
D008790,metoprolol,CID,D054537,AV block
D014229,Triazolam,CID,D001714,mania
D006220,haloperidol,CID,D009127,muscular rigidity
D009020,morphine,CID,D009127,muscular rigidity
D009020,morphine,CID,D006948,hyper- or dyskinetic
D009020,morphine,CID,D018476,akinetic
D010423,pentazocine,CID,D005355,fibrous myopathy
D010423,pentazocine,CID,D009135,fibrous myopathy
D010423,pentazocine,CID,D020425,neuropathy of the radial nerve
D010423,pentazocine,CID,D009408,compression neuropathy
D000666,amphotericin,CID,D058186,acute renal failure
D000638,amiodarone,CID,D010490,haemopericardium
D000638,amiodarone,CID,D009468,neuromuscular disease
D000638,amiodarone,CID,D010996,pleural effusions
D000638,amiodarone,CID,D011014,pneumonitis
D007213,Indomethacin,CID,D006947,hyperkalemia
D007213,Indomethacin,CID,D009846,oliguria
D007213,Indomethacin,CID,D058186,acute renal failure
D007213,Indomethacin,CID,D005355,fibrous myopathy
D007213,Indomethacin,CID,D001201,ascites
D007213,Indomethacin,CID,D011660,cor pulmonale
D005445,flunitrazepam,CID,D004244,Dizziness
D005445,flunitrazepam,CID,D010146,pain
D013999,timolol,CID,D006332,cardiomegaly
D002762,Vitamin D3,CID,D006934,hypercalcemia
D002762,Vitamin D3,CID,D054559,hyperphosphatemia
D012256,riboflavin,CID,D010523,Diseases of peripheral nerves
D013831,thiamine,CID,D010523,Diseases of peripheral nerves
D007538,Isoniazid,CID,D010523,Diseases of peripheral nerves
D000639,amitriptyline,CID,D014786,audiovisual toxicity
D000639,amitriptyline,CID,D014987,dry mouth
D011433,propranolol,CID,D008569,impaired immediate free recall
D003975,diazepam,CID,D008569,impaired immediate free recall
D005200,N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide,CID,D001749,bladder carcinomas
D005200,N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide,CID,D013274,forestomach tumors
D004054,diethylstilbestrol,CID,D010911,adenohypophyseal tumors
D014223,Triamterene,CID,D053040,nephrolithiasis
D004317,adriamycin,CID,D066126,cardiotoxicity
D013307,streptomycin,CID,D004409,hyper- or dyskinetic
D013307,streptomycin,CID,D003638,deafness
D012293,rifampin,CID,D005921,glomerulosclerosis
D012293,rifampin,CID,D051437,renal failure
D011692,puromycin aminonucleoside,CID,D007674,nephropathy
D011692,puromycin aminonucleoside,CID,D011507,proteinuria
D002997,Clomipramine,CID,D012893,sleep disturbance
D008790,metoprolol,CID,D000799,Angioedema
D017706,lisinopril,CID,D000799,Angioedema
D009538,AN,CID,D001176,arthrogryposis
C007112,coniine,CID,D001176,arthrogryposis
D009538,AN,CID,D002543,cranial hemorrhage
D014294,trimethaphan,CID,D007022,hyper- or hypotension
D000527,prostaglandin E1,CID,D007022,hyper- or hypotension
D010862,pilocarpine,CID,D013226,status epilepticus
D010862,pilocarpine,CID,D002544,Infarcts in substantia nigra pars reticulata
D010862,pilocarpine,CID,D001480,axonal damage
D005473,fluoxetine,CID,D009069,Parkinson disability
D000082,paracetamol,CID,D007022,hyper- or hypotension
D002443,ceftriaxone,CID,D000744,autoimmune hemolytic anemia
D002443,ceftriaxone,CID,D056486,hepatitis
D003024,clozapine,CID,D000380,agranulocytosis
D004837,epinephrine,CID,D013927,HITT
C056507,Gemcitabine,CID,D013921,HITT
C030852,vinorelbine,CID,D013921,HITT
C056507,Gemcitabine,CID,D020258,neurotoxic
C030852,vinorelbine,CID,D009503,neutropenia
C056507,Gemcitabine,CID,D009503,neutropenia
C030852,vinorelbine,CID,D020258,neurotoxic
D014859,Warfarin,CID,D061205,artery calcification
D000928,antidepressant,CID,D001714,mania
D017367,serotonin reuptake inhibitors,CID,D001714,mania
D002110,Caffeine,CID,D014693,ventricular fibrillation
D005283,fentanyl,CID,D012131,respiratory depression
D005283,fentanyl,CID,D007022,hyper- or hypotension
D005283,fentanyl,CID,D001745,bladder damage
D005283,fentanyl,CID,D001919,tachy- or bradycardia
D005283,fentanyl,CID,D016055,retention of urine
D019469,indinavir,CID,D009202,myocardial injury
D019259,lamivudine,CID,D009202,myocardial injury
D015215,zidovudine,CID,D009202,myocardial injury
D003276,Oral contraceptives,CID,D009203,myocardial infarction
D003042,cocaine,CID,D009069,Parkinson disability
C065046,CP 93129,CID,D009069,Parkinson disability
D013988,Ticlopidine,CID,D007565,jaundice
D013988,Ticlopidine,CID,D002779,cholestasis
D013988,Ticlopidine,CID,D056486,hepatitis
D011692,puromycin aminonucleoside,CID,D009404,nephrotic syndrome
D005996,nitroglycerin,CID,D020326,migraineurs (without aura)
D009569,NO,CID,D020326,migraineurs (without aura)
D017239,paclitaxel,CID,D003323,Coronary aneurysm
D001058,apomorphine,CID,D010409,penile erection
D017255,acitretin,CID,D055154,dysphonia
D002211,capsaicin,CID,D006930,secondary hyperalgesia
D018817,MDMA,CID,D003072,impaired social and emotional judgement processes
C102006,citrate,CID,D006996,hypocalcemia
D020123,sirolimus,CID,D011507,proteinuria
D003520,cyclophosphamide,CID,D003556,HC
D001569,benzodiazepines,CID,D005221,tiredness
D001569,benzodiazepines,CID,D003866,depression
D001569,benzodiazepines,CID,D007319,inability to sleep
D001569,benzodiazepines,CID,D004244,Dizziness
D004221,disulfiram,CID,D010292,paresthesia
D004221,disulfiram,CID,D011782,quadriplegic
D004221,disulfiram,CID,D010146,pain
D004221,disulfiram,CID,D010523,Diseases of peripheral nerves
D004221,disulfiram,CID,D001259,ataxia
D004221,disulfiram,CID,D014826,vocal fold palsy
