PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy).",Transforming growth factor beta,CHEBI,be dysregulated in,subcortical infarcts,DISEASE
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy).",Transforming growth factor beta,CHEBI,be dysregulated in,cerebral autosomal recessive,DISEASE
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy).",Transforming growth factor beta,CHEBI,be dysregulated in,hereditary SVD,DISEASE
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy).",Transforming growth factor beta,CHEBI,be dysregulated in,recessive arteriopathy,DISEASE
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy).",Transforming growth factor beta,CHEBI,be dysregulated in,leukoencephalopathy,DISEASE
28470822,The aim of this study was to characterize signaling abnormalities of BMPs in sporadic SVD.,BMPs,CHEMICAL,have signaling abnormalities in,sporadic SVD,DISEASE
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,preserved vitamin E levels?Vitamin E,CHEBI,be added to,rancherosSome vitamin E,CHEBI
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,be associated with,respiratory chain)Maple syrup urine disease,CHEMICAL
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,be associated with,respiratory chain)Maple syrup urine disease,DISEASE
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,be associated with,MSUD,DISEASE
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,be associated with,low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders,CHEMICAL
31019473,"This is more evident during rapid growth (i.e., perinatal periods and children) in which thiamine deficiency is commonly associated with either malnutrition or genetic defects.",thiamine deficiency,CHEBI,be associated in,malnutrition,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,death,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,sleep disturbances,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,ataxia,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,congestive heart failure,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,confusion,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,muscle atrophy,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",Thiamine deficiency,CHEBI,contribute to number of,severe encephalopathy,DISEASE
31019473,"This review discusses the current knowledge on thiamine deficiency and associated morbidity of neurological and psychiatric disorders, with special emphasis on the pediatric population, as well as the putative beneficial effect of thiamine supplementation in autism spectrum disorder (ASD) and other neurological conditions.",thiamine supplementation,CHEBI,have the putative beneficial effect in,autism spectrum disorder,MENTAL_HEALTH
21453474,"This is, to the best of our knowledge, the first report in the literature to associate a new plausible mechanism of neurodevelopmental toxicity with a case of autism spectrum disorder through a vitamin deficiency potentiated by concomitant use of herbal supplements and ethanol exposure.",vitamin deficiency,CHEBI,have a case of,autism spectrum disorder,MENTAL_HEALTH
34990378,"Bipolar depression typically has a poor response to antidepressant medication, and also involves the risk of polarity shifts, induction of mixed states, and / or rapid cycle induction.",Bipolar depression,MENTAL_HEALTH,have poor response to,antidepressant medication,CHEMICAL
34990378,"The treatment of bipolar depression is based on the options known from monopolar depression (such as the use of antidepressants, antipsychotics, and certain antiepileptic agents) and their combinations, while in recent years it has been enriched with new pharmaceutical agents and non-pharmacological approaches.",bipolar depression,MENTAL_HEALTH,be based on,antidepressants,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",dizziness,DISEASE,occur with,cannabis medicines,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",tiredness,DISEASE,occur with,cannabis medicines,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",typical cannabis side effects,CHEMICAL,occur with,cannabis medicines,CHEMICAL
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage.",TRD,DISEASE,be characterized by failure of adequate trial of major class of,antidepressant,CHEMICAL
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage.",Treatment-resistant depression,MENTAL_HEALTH,be characterized by failure of adequate trial of major class of,antidepressant,CHEMICAL
31214863,"Although only a few studies have associated RTT and TH, TH deficit can lead to neurological deregulation by triggering functional deficiencies during adulthood.",TH deficit,CHEMICAL,trigger,functional deficiencies,DISEASE
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,Buspirone,CHEMICAL,seem to effective as benzodiazepines in alleviation of,anxiety,MENTAL_HEALTH
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,Buspirone,CHEMICAL,seem to effective as,benzodiazepines,CHEMICAL
10374130,"Multiple endocrine neoplasia-type 1 (MEN1) is an autosomal dominant familial cancer syndrome characterized by parathyroid hyperplasia, pancreatic endocrine tumours and pituitary adenomas.",Multiple endocrine neoplasia-type,CHEBI,characterized by,parathyroid hyperplasia,DISEASE
10374130,"Multiple endocrine neoplasia-type 1 (MEN1) is an autosomal dominant familial cancer syndrome characterized by parathyroid hyperplasia, pancreatic endocrine tumours and pituitary adenomas.",Multiple endocrine neoplasia-type,CHEBI,characterized by,pancreatic endocrine tumours,CHEBI
10374130,"Multiple endocrine neoplasia-type 1 (MEN1) is an autosomal dominant familial cancer syndrome characterized by parathyroid hyperplasia, pancreatic endocrine tumours and pituitary adenomas.",Multiple endocrine neoplasia-type,CHEBI,characterized by,pituitary adenomas,DISEASE
10374130,"During follow-up, a growing pituitary adenoma caused acromegaly with elevated serum concentrations of growth hormone, insulin-like growth factor 1 (IGF-1), and prolactin.",growing pituitary adenoma,DISEASE,cause during follow-up acromegaly with elevated serum concentrations of,growth hormone,CHEBI
10374130,"During follow-up, a growing pituitary adenoma caused acromegaly with elevated serum concentrations of growth hormone, insulin-like growth factor 1 (IGF-1), and prolactin.",growing pituitary adenoma,DISEASE,cause during,follow-up acromegaly,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate with severity of,manic symptoms,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate with severity of,psychotic symptoms,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate with severity of,depressive symptoms,DISEASE
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.,PUFA ratio,CHEMICAL,correlate with severity of,psychotic symptoms,DISEASE
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",n-3 PUFA DHA,CHEMICAL,correlate with severity of,positive symptoms,DISEASE
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",n-3 PUFA DHA,CHEMICAL,correlate with severity of,manic,DISEASE
31244693,EPA negatively correlated with manic symptoms.,EPA,CHEMICAL,correlate with,manic symptoms,DISEASE
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms.",Nervonic acid,CHEMICAL,correlate with,manic symptoms,DISEASE
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms.",Nervonic acid,CHEMICAL,correlate with,depressive symptoms,DISEASE
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms.",monounsaturated fatty acid,NUTRITION,correlate with,manic symptoms,DISEASE
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms.",monounsaturated fatty acid,NUTRITION,correlate with,depressive symptoms,DISEASE
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",long-chain saturated fatty acid tetracosanoic acid,NUTRITION,correlate with,positive symptoms,DISEASE
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",long-chain saturated fatty acid tetracosanoic acid,NUTRITION,correlate with,manic,DISEASE
31244693,"Conclusions: Partially consistent with a previous study, psychotic symptoms, depressive symptoms, and symptoms of mania were associated with several classes of FAs in the present study.",mania,MENTAL_HEALTH,be associated with several classes of,FAs,CHEMICAL
31244693,These findings support the relevance of membrane fatty acids for the onset of psychotic symptoms and indicate that FAs should be further evaluated as biomarkers in the UHR for psychosis group.,FAs,CHEMICAL,be evaluated as biomarkers in uhr for,psychosis group,MENTAL_HEALTH
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,schizophrenia-like symptoms,DISEASE,have the extent in,heavy cannabis users,CHEMICAL
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,short-term memory impairment,DISEASE,have the extent in,heavy cannabis users,CHEMICAL
2787581,"Although the number of cases in this study was small, the findings support the hypothesis that cannabis does play an aetiological role in schizophrenia.",cannabis,CHEMICAL,play aetiological role in,schizophrenia,MENTAL_HEALTH
28751857,Humans that are carriers of the met-BDNF allele have subclinical memory deficits and reduced hippocampal volume and activation.,carriers,CHEBI,have,subclinical memory deficits,DISEASE
