PMID,Sentence,Named-Entity,Label,Result
14578199,"N-methyl-D-aspartate receptor-induced toxicity has been shown to be calcium dependent; this study demonstrates that 2-amino-3-(4-butyl-3-hydroxyisoxazol-5-yl)propionic acid/kainate receptor-type neurotoxicity is also calcium-dependent, partly mediated by voltage sensitive calcium channels.",acid/kainate receptor-type neurotoxicity,CHEMICAL,1
14578199,"N-methyl-D-aspartate receptor-induced toxicity has been shown to be calcium dependent; this study demonstrates that 2-amino-3-(4-butyl-3-hydroxyisoxazol-5-yl)propionic acid/kainate receptor-type neurotoxicity is also calcium-dependent, partly mediated by voltage sensitive calcium channels.",voltage sensitive calcium channels,CHEMICAL,1
16389753,Enhanced intake of poly-unsaturated fatty acids may play an important role in the reversal of cancer related weight loss.,poly-unsaturated fatty acids,NUTRITION,1
16389753,Enhanced intake of poly-unsaturated fatty acids may play an important role in the reversal of cancer related weight loss.,related weight loss,DISEASE,1
16389753,Enhanced intake of poly-unsaturated fatty acids may play an important role in the reversal of cancer related weight loss.,poly-unsaturated fatty acids,CHEMICAL,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",n-3 long chain polyunsaturated fatty acids,NUTRITION,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",n-3,CHEMICAL,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",desaturation,DISEASE,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",n-3 long chain polyunsaturated fatty acids,CHEMICAL,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",eicosapentaenoic acid,CHEMICAL,1
15460168,"n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA), mainly eicosapentaenoic acid (EPA, 20:5 n-3) and docosahexaenoic acid (DHA, 22:6 n-3), are present in mammal tissues both from endogenous synthesis from desaturation and elongation of 18:3 n-3 and/or from dietary origin (marine products and fish oils).",n-3 LC-PUFA,CHEMICAL,1
32265706,"Meanwhile, the antianxiety mechanism of BAA was different with the antivisceral pain mechanism of BAA.",BAA,CHEMICAL,1
32265706,"Meanwhile, the antianxiety mechanism of BAA was different with the antivisceral pain mechanism of BAA.",antivisceral pain mechanism,DISEASE,1
