PMID,Sentence
28470822,"Transforming growth factor beta 1 (TGFB1) is dysregulated in the hereditary SVD, CARASIL (cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy)."
28470822,The aim of this study was to characterize signaling abnormalities of BMPs in sporadic SVD.
28470822,"We examined immunostaining of TGFB1 and BMPs (BMP2/BMP4/BMP6/BMP7/BMP9) in a total of 19 post-mortem human brain samples as follows: 7 SVD patients (4 males, 76-90 years old); 6 Alzheimer's disease (AD) patients (2 males, 67-93 years old) and 6 age-matched disease controls (3 males, 68-78 years old)."
28470822,"Furthermore, adult mice were subjected to chronic cerebral hypoperfusion using bilateral common carotid artery stenosis, followed by continuous intracerebroventricular infusion of the BMP antagonist, noggin."
31792039,"He had autism spectrum disorder, and restricted eating since aged 2 years, eating only corn-crisps, Rich Tea biscuits and chips (French fries), and drinking Coca-Cola (containing 10% glucose; figure 1)."
31792039,"Laboratory results demonstrated glucose 2.7 mmol/L, mild anaemia, raised urea (10.7 mmol/L) with normal creatinine and raised hepatic transaminases, low albumin and elevated creatinine kinase (peak 7809 IU/L)."
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.
31019473,"This is more evident during rapid growth (i.e., perinatal periods and children) in which thiamine deficiency is commonly associated with either malnutrition or genetic defects."
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death."
31019473,"This review discusses the current knowledge on thiamine deficiency and associated morbidity of neurological and psychiatric disorders, with special emphasis on the pediatric population, as well as the putative beneficial effect of thiamine supplementation in autism spectrum disorder (ASD) and other neurological conditions."
21453474,"This is, to the best of our knowledge, the first report in the literature to associate a new plausible mechanism of neurodevelopmental toxicity with a case of autism spectrum disorder through a vitamin deficiency potentiated by concomitant use of herbal supplements and ethanol exposure."
34990378,"Bipolar depression typically has a poor response to antidepressant medication, and also involves the risk of polarity shifts, induction of mixed states, and / or rapid cycle induction."
34990378,"The treatment of bipolar depression is based on the options known from monopolar depression (such as the use of antidepressants, antipsychotics, and certain antiepileptic agents) and their combinations, while in recent years it has been enriched with new pharmaceutical agents and non-pharmacological approaches."
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law."
33564897,"They are treated more often by general practitioners and internists, their diagnosis differs more often from the typical diagnoses (pain, spasticity, anorexia/wasting), and they have more prior experience with cannabis."
2955123,Further studies have shown that DHEA and DHEA-S levels are significantly low or close to minimal at ages when the incidence of senile dementia of Alzheimer's type (SDAT) begins to increase.
2955123,We propose that DHEA and DHEA-S play a significant role in normal function of neuronal cells and that supplementation with them may prevent neuronal loss and/or damage.
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage."
35179810,We aimed to identify clinical predictors of depressive symptom remission and response 24 h and 7 days after racemic ketamine and esketamine infusions.
30771578,"In recent years, the role of the neurofilament light chain (NFL), an axonal injury biomarker, in IDD has become increasingly important."
31214863,"Although only a few studies have associated RTT and TH, TH deficit can lead to neurological deregulation by triggering functional deficiencies during adulthood."
31214863,"Our work provided evidences that TH homeostasis is compromised in RTT-derived neural cells, which could be an important factor to contribute to the imbalance in the neurodevelopmental phenotype presented in this syndrome and can lead us to better understand other neurodevelopmental diseases."
